Dataset,TP,FP,TN,FN,Accuracy
DatasetA,2.0 ± 0.0,4.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.33 ± 0.00
DatasetB,3.0 ± 0.0,3.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.50 ± 0.00
DatasetC,3.0 ± 0.0,3.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.50 ± 0.00
DatasetD,3.0 ± 0.0,3.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.50 ± 0.00
DatasetE,6.0 ± 0.0,24.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.20 ± 0.00
