Method,Dataset,TP,FP,TN,FN,Accuracy
IDTxl (Kraskov CMI),A,0.00,0.00,4.00,2.00,0.67
IDTxl (Kraskov CMI),B,0.00,0.00,3.00,3.00,0.50
IDTxl (Kraskov CMI),C,0.00,0.00,4.00,2.00,0.67
IDTxl (Kraskov CMI),D,0.00,0.00,3.00,3.00,0.50
IDTxl (Kraskov CMI),E,0.00,0.00,24.00,6.00,0.80
