Method,Dataset,TP,FP,TN,FN,Accuracy
Continuous TE (Kraskov KSG) + FDR,A,0.00,0.00,4.00,2.00,0.67
Continuous TE (Kraskov KSG) + FDR,B,0.00,0.00,3.00,3.00,0.50
Continuous TE (Kraskov KSG) + FDR,C,0.00,0.00,4.00,2.00,0.67
Continuous TE (Kraskov KSG) + FDR,D,0.00,0.00,3.00,3.00,0.50
Continuous TE (Kraskov KSG) + FDR,E,0.00,0.00,24.00,6.00,0.80
