dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,lag
DatasetD,0,0,87.69391954718347,5.724123755853401,34.31822904373974,0.07820322484084599,0.5180762134938983,0.49540206933302827,0.0,0.08833922308701592,0.0879292611994913,1
DatasetD,0,0,,,,0.0636058052953571,0.8063040797361092,0.4951162272047656,0.0,0.11236927706588684,0.08987300754323035,10
DatasetD,0,0,,,,0.06259802428617854,0.8274683138949549,0.4944283635139599,0.0,0.08552891735902302,0.08447616023544402,50
DatasetD,0,1,0.4801766366613356,67.41123431772958,154.93881422348204,0.09051993746058665,0.39307620349189487,0.37955154942397396,0.08972619463052389,0.0,0.08692139265011134,1
DatasetD,0,1,,,,0.09734186402371853,0.6813040697160693,0.379180536333715,0.08382046513509378,0.0,0.08921350652019333,10
DatasetD,0,1,,,,0.09633797663665722,0.702468303793946,0.37885878280524854,0.08366599428449639,0.0,0.08491645562892103,50
DatasetD,0,2,0.10595345937993693,0.012071002690193108,64.9482910858514,0.0925742138924354,0.1430761955036861,0.2159207414465486,0.0842919849428112,0.08104465290546958,0.0,1
DatasetD,0,2,,,,0.10669977283629527,0.43130406171175795,0.21573651314494785,0.09040959678300409,0.08666177519813933,0.0,10
DatasetD,0,2,,,,0.10720072222245658,0.4524682957210947,0.21576567326519908,0.08215723470313341,0.08065795044696555,0.0,50
DatasetD,1,0,112.9089717571384,2.112674731569105,44.51362780811337,0.07704929056409253,0.5074198233019955,0.5013320037733028,0.0,0.08968055903066396,0.09414480924378532,1
DatasetD,1,0,,,,0.06354149158927638,0.8150966712539778,0.5012677075883888,0.0,0.10987251655029207,0.08650716073486997,10
DatasetD,1,0,,,,0.05977212586076707,0.8338457850395045,0.5013329637295229,0.0,0.0858444068648403,0.08333543852055314,50
DatasetD,1,1,0.008983306216087159,78.93109899333874,187.4819454594374,0.08949578972638242,0.382419813299992,0.38251493626383937,0.08149631016019265,0.0,0.08606261606370769,1
DatasetD,1,1,,,,0.09709264179104563,0.6900966612338738,0.38237123931146383,0.08661713170651808,0.0,0.08907968516645459,10
DatasetD,1,1,,,,0.09344066390673658,0.7088457749383461,0.38263082801504444,0.08392356025078485,0.0,0.08361385337490157,50
DatasetD,1,2,0.029078061706791006,0.29093559041119205,84.52870173190578,0.09147523237996072,0.13241980538421705,0.21574076855710955,0.09811922019385522,0.08929534012325835,0.0,1
DatasetD,1,2,,,,0.10915079060078425,0.44009665328621844,0.2157984026989714,0.08356390822202009,0.08074639751079449,0.0,10
DatasetD,1,2,,,,0.11021548362564035,0.4588457669258771,0.21547737161500996,0.09314549822915241,0.08532864384713923,0.0,50
DatasetD,2,0,122.45820684081589,4.828607706416932,50.35605145874589,0.07341722187357869,0.5207296373390364,0.49891510688499224,0.0,0.08269200286299538,0.08337739688540857,1
DatasetD,2,0,,,,0.061526666032591174,0.8239458756054532,0.49910600985056974,0.0,0.11180614609171524,0.08361116469084084,10
DatasetD,2,0,,,,0.06415168822122909,0.8341800719723992,0.4984190609488558,0.0,0.09259940149747914,0.08200569872456143,50
DatasetD,2,1,0.023988154134617648,71.64831817376181,214.92407860924007,0.08734914646225725,0.39572962733703315,0.3802287674771,0.08141983601478175,0.0,0.09317893209635075,1
DatasetD,2,1,,,,0.0967754113236675,0.698945865585349,0.3803698717522144,0.08474330218836235,0.0,0.09215779032841276,10
DatasetD,2,1,,,,0.09732004037928296,0.7091800618713966,0.38001058816678424,0.09045163783730814,0.0,0.08606901693603719,50
DatasetD,2,2,0.004728368042594981,0.26542621280334394,96.0412534386665,0.08814535949601111,0.14572961936542028,0.21591038430277687,0.08956528354077475,0.08425342705051797,0.0,1
DatasetD,2,2,,,,0.11220558045486191,0.44894585759526684,0.21590272913552305,0.08838620313489587,0.09328413745042541,0.0,10
DatasetD,2,2,,,,0.10793235984272889,0.45918005381337085,0.21568535185591473,0.09026462038177341,0.08200338349794656,0.0,50
DatasetD,3,0,101.10565835513286,1.7492679426124438,51.75885478478488,0.07672829149774817,0.5171069077313446,0.5001753506347506,0.0,0.08808188960416397,0.08522680067914257,1
DatasetD,3,0,,,,0.061257920705617586,0.8191578272147643,0.49997506398632474,0.0,0.10918172318261554,0.09354727272652719,10
DatasetD,3,0,,,,0.06413126790411083,0.8445039600732619,0.5004579730229533,0.0,0.08335983006762682,0.09300785975304482,50
DatasetD,3,1,1.440317347477189,77.54123044305335,232.7106551869239,0.0924599040169346,0.39210689772934126,0.3799868701416559,0.08763010850539743,0.0,0.0880057289003977,1
DatasetD,3,1,,,,0.09874452919411383,0.6941578171947205,0.37971882478861757,0.08046656659243112,0.0,0.08996167755816131,10
DatasetD,3,1,,,,0.09961113023653281,0.7195039499720834,0.3800719537838182,0.08612494850516716,0.0,0.09148295278247653,50
DatasetD,3,2,0.6933191786642645,0.15363864139518504,92.8938722111411,0.09273185258278183,0.1421068898018873,0.2156918934436703,0.08527898106067422,0.08863764063490587,0.0,1
DatasetD,3,2,,,,0.11008570701894316,0.44415780923739073,0.21568881911017757,0.08879524416031659,0.08196169399439857,0.0,10
DatasetD,3,2,,,,0.11385611719084861,0.46950394195156353,0.21538973744491674,0.08788356066554615,0.08538327826449521,0.0,50
DatasetD,4,0,128.61035647216372,8.447536567546004,42.44727134152375,0.07855634375067364,0.5078733985168367,0.4971160478091322,0.0,0.08947810141891122,0.08245304575522239,1
DatasetD,4,0,,,,0.06581411731606322,0.8062687630615771,0.4971106585436067,0.0,0.1109945455422463,0.08514748256832583,10
DatasetD,4,0,,,,0.06440080039825592,0.8365170322014097,0.49619417393681364,0.0,0.08294740496104813,0.07731821832473962,50
DatasetD,4,1,0.21899552230786862,59.76056333498038,189.22012559445116,0.08724010107202357,0.3828733885148388,0.3816377046963426,0.08675092388423922,0.0,0.08431919392969212,1
DatasetD,4,1,,,,0.09902782712802832,0.6812687530415236,0.381647173360017,0.0807797157504404,0.0,0.08922023002942314,10
DatasetD,4,1,,,,0.09561469187035591,0.711517022100397,0.3806369730286278,0.08110101933582836,0.0,0.092357913456933,50
DatasetD,4,2,0.01209103274756909,0.005430779422982139,78.3743864294901,0.09028660226322946,0.1328733805602676,0.2159333445440697,0.08063192731815727,0.09105471597539072,0.0,1
DatasetD,4,2,,,,0.11009746691676861,0.4312687450623608,0.21573726203430352,0.0889554960337966,0.09362828366625298,0.0,10
DatasetD,4,2,,,,0.11015505659633969,0.46151701405252377,0.21549528358083425,0.08649337453831896,0.08661306160695359,0.0,50
DatasetD,5,0,96.32594793349854,1.4251825243803475,40.56442949745398,0.07834307776623144,0.5235968075766715,0.5062588543998028,0.0,0.08619303396654177,0.08344342980942887,1
DatasetD,5,0,,,,0.060534218395666195,0.818015260993244,0.5060328741378262,0.0,0.10529650731932083,0.08589304102805873,10
DatasetD,5,0,,,,0.061171056008383344,0.8329534586462786,0.5058371448407204,0.0,0.0906169610534513,0.08964460721249701,50
DatasetD,5,1,0.38880291646843035,59.46878756139133,177.41332597813158,0.0955457004265811,0.3985967975746722,0.38120605776599814,0.08859606723077817,0.0,0.09375442017275004,1
DatasetD,5,1,,,,0.10066392897179097,0.693015250973201,0.38086261539309585,0.08310538209586182,0.0,0.0892776159028954,10
DatasetD,5,1,,,,0.09754777278817175,0.7079534485452714,0.380807772212874,0.08473636880910362,0.0,0.08571275865241468,50
DatasetD,5,2,0.009437971381934912,0.03915379943193478,72.21355190716834,0.09229853765649217,0.14859678964874584,0.215837125919428,0.08907801810562033,0.0846765085800647,0.0,1
DatasetD,5,2,,,,0.10962242180667925,0.44301524301612866,0.21589940943208452,0.0881792756505444,0.08942083879681295,0.0,10
DatasetD,5,2,,,,0.10886353369944761,0.4579534405233164,0.2162436994851153,0.0874065719918593,0.08976124271196495,0.0,50
DatasetD,6,0,107.01927131666334,10.97335392842853,39.750163613889555,0.08053042012721892,0.4871626292027246,0.49322811144377127,0.0,0.08783885940705582,0.08712554566147057,1
DatasetD,6,0,,,,0.06538785176524384,0.7922139416327478,0.49316181638932327,0.0,0.11459153166579261,0.08210463059261341,10
DatasetD,6,0,,,,0.06168267492012445,0.8403160636305544,0.49261969198729993,0.0,0.09056675571684769,0.08608265620842426,50
DatasetD,6,1,0.10649580935426509,41.0889033648992,185.0633562183936,0.09059867337016289,0.36216261920072157,0.3792802113260753,0.08683512845581465,0.0,0.08946350055864949,1
DatasetD,6,1,,,,0.10020689884033482,0.6672139316127039,0.37905867683837496,0.08462637069832368,0.0,0.08834368152126304,10
DatasetD,6,1,,,,0.09261849530150068,0.7153160535295411,0.3792857449571882,0.08667027283875584,0.0,0.0810375737268445,50
DatasetD,6,2,0.1476888651413135,0.47686578262867,79.33246682078881,0.09362031589588599,0.11216261122695786,0.21578861159487547,0.08397085931780968,0.08673926367395257,0.0,1
DatasetD,6,2,,,,0.10831364089672729,0.4172139236191873,0.21565187452602258,0.08509473951568447,0.09094922560254348,0.0,10
DatasetD,6,2,,,,0.10727366418532629,0.46531604546989647,0.21530166321698946,0.0894674699165443,0.0838603324602869,0.0,50
DatasetD,7,0,98.00170052604425,2.1537881593935326,31.92955451576084,0.07831396458915448,0.503282983604439,0.4998096884028735,0.0,0.08410486798697692,0.0829372025050299,1
DatasetD,7,0,,,,0.06413937226502921,0.8166360293014725,0.4999443018858905,0.0,0.10638689444497151,0.08227470634864043,10
DatasetD,7,0,,,,0.06328686093805559,0.8422437169722067,0.4995843018705341,0.0,0.08206018948780747,0.0965194592162617,50
DatasetD,7,1,2.0060800457705725,70.66922908704103,179.84552236558915,0.09218648254395784,0.37828297360243507,0.3786662067280857,0.0916239726979442,0.0,0.09154373047382292,1
DatasetD,7,1,,,,0.10080060372744715,0.6916360192814331,0.3790438578358202,0.08390020467302506,0.0,0.08647994762558353,10
DatasetD,7,1,,,,0.09724977367363358,0.7172437068710488,0.3783105766895548,0.08300079442941799,0.0,0.08925438807115516,50
DatasetD,7,2,0.7109852172836179,0.000432288868304684,74.78253791932487,0.09069999880502817,0.12828296566640096,0.21577807720683173,0.09208739748462014,0.08318867742820402,0.0,1
DatasetD,7,2,,,,0.10851657564156232,0.44163601131619284,0.2159500373515216,0.08173016869416294,0.087079316526391,0.0,10
DatasetD,7,2,,,,0.10764763170829642,0.46724369883241773,0.21563175811638005,0.0840506509340746,0.09289499165527904,0.0,50
DatasetD,8,0,112.1342950197856,19.23622787050238,49.163442309259096,0.07852374169680988,0.5039626346699175,0.49577906985079256,0.0,0.08807087226173804,0.09314305522946364,1
DatasetD,8,0,,,,0.06469888962971662,0.8360866097112696,0.4955076824708875,0.0,0.12147919837151022,0.08806217815529838,10
DatasetD,8,0,,,,0.06319325906663634,0.8387428257203928,0.4957862613852571,0.0,0.08295783752597208,0.08239746405344928,50
DatasetD,8,1,0.6226063797764914,42.45340156755846,189.3833068728862,0.089238260025926,0.3789626246679137,0.3784289207667828,0.0789239528552117,0.0,0.09257800146490647,1
DatasetD,8,1,,,,0.09893777053810007,0.7110865996912296,0.37798883298320696,0.08995565592640276,0.0,0.08406993254246142,10
DatasetD,8,1,,,,0.09466771722305586,0.713742815619399,0.3785402229006682,0.08827368397538038,0.0,0.0935222424285671,50
DatasetD,8,2,0.006777272003146474,1.362797466818573,76.92608892996869,0.09269902228151636,0.12896261667693876,0.21573701544929164,0.08060292031438987,0.0821638960577391,0.0,1
DatasetD,8,2,,,,0.11023977101716517,0.4610865916846382,0.21534329185794984,0.08739610594345493,0.09512495771361618,0.0,10
DatasetD,8,2,,,,0.1087913288494619,0.4637428075478291,0.21635720155938476,0.08741969398836158,0.08240435912086319,0.0,50
DatasetD,9,0,113.41405207639511,3.1942637102067444,37.66196660975034,0.07560499258288998,0.4966817563344182,0.5031467400533867,0.0,0.08713367373916414,0.08262751981918504,1
DatasetD,9,0,,,,0.060984956457758005,0.8187568325744978,0.5035627971187284,0.0,0.09663498402747761,0.08417526300191147,10
DatasetD,9,0,,,,0.06091503378517605,0.8356620324326095,0.5031779887599773,0.0,0.09179168364826662,0.09140412548493648,50
DatasetD,9,1,0.1842011717096836,55.32313989758247,220.18939749445232,0.09142069527036936,0.3716817463324186,0.3817677766764447,0.08633514667479858,0.0,0.0950553415031532,1
DatasetD,9,1,,,,0.10007927248242848,0.6937568225544237,0.3818771596323681,0.08492198299503118,0.0,0.0963311484896403,10
DatasetD,9,1,,,,0.09646231706000408,0.7106620223315195,0.38189028257464375,0.08289198520827723,0.0,0.09439346861424136,50
DatasetD,9,2,0.1447349918624976,0.04470578232040821,83.67817828215455,0.0933343899727386,0.12168173838015695,0.21572634065912996,0.07934198350544763,0.08612686755557108,0.0,1
DatasetD,9,2,,,,0.10788175348643202,0.44375681457217114,0.21574136643674585,0.09433021595393676,0.0804689576635722,0.0,10
DatasetD,9,2,,,,0.10707921227420784,0.460662014285667,0.2159033399459143,0.08220611585948845,0.09170683845293892,0.0,50
