Method,Dataset,TP,FP,TN,FN,Accuracy
VAR-LiNGAM,A,2,2,2,0,0.67
VAR-LiNGAM,B,3,3,0,0,0.50
VAR-LiNGAM,C,3,3,0,0,0.50
VAR-LiNGAM,D,2,3,0,1,0.33
VAR-LiNGAM,E,6,6,18,0,0.80
